year,category,type,number
2005,Cars & Station-wagons,Private cars,401638
2006,Cars & Station-wagons,Private cars,421904
2007,Cars & Station-wagons,Private cars,451745
2008,Cars & Station-wagons,Private cars,476634
2009,Cars & Station-wagons,Private cars,497116
2010,Cars & Station-wagons,Private cars,511125
2011,Cars & Station-wagons,Private cars,520614
2012,Cars & Station-wagons,Private cars,535233
2013,Cars & Station-wagons,Private cars,540063
2014,Cars & Station-wagons,Private cars,536882
2005,Cars & Station-wagons,Company cars,14936
2006,Cars & Station-wagons,Company cars,15828
2007,Cars & Station-wagons,Company cars,16954
2008,Cars & Station-wagons,Company cars,18246
2009,Cars & Station-wagons,Company cars,18874
2010,Cars & Station-wagons,Company cars,19733
2011,Cars & Station-wagons,Company cars,20372
2012,Cars & Station-wagons,Company cars,21403
2013,Cars & Station-wagons,Company cars,21756
2014,Cars & Station-wagons,Company cars,21860
2005,Cars & Station-wagons,Tuition cars,917
2006,Cars & Station-wagons,Tuition cars,928
2007,Cars & Station-wagons,Tuition cars,949
2008,Cars & Station-wagons,Tuition cars,976
2009,Cars & Station-wagons,Tuition cars,1011
2010,Cars & Station-wagons,Tuition cars,940
2011,Cars & Station-wagons,Tuition cars,919
2012,Cars & Station-wagons,Tuition cars,899
2013,Cars & Station-wagons,Tuition cars,897
2014,Cars & Station-wagons,Tuition cars,874
2005,Cars & Station-wagons,Rental cars,7756
2006,Cars & Station-wagons,Rental cars,9235
2007,Cars & Station-wagons,Rental cars,11054
2008,Cars & Station-wagons,Rental cars,12391
2009,Cars & Station-wagons,Rental cars,12763
2010,Cars & Station-wagons,Rental cars,13347
2011,Cars & Station-wagons,Rental cars,13919
2012,Cars & Station-wagons,Rental cars,14862
2013,Cars & Station-wagons,Rental cars,16396
2014,Cars & Station-wagons,Rental cars,18847
2005,Cars & Station-wagons,Off peak cars,12947
2006,Cars & Station-wagons,Off peak cars,24413
2007,Cars & Station-wagons,Off peak cars,33983
2008,Cars & Station-wagons,Off peak cars,42208
2009,Cars & Station-wagons,Off peak cars,47224
2010,Cars & Station-wagons,Off peak cars,50040
2011,Cars & Station-wagons,Off peak cars,47899
2012,Cars & Station-wagons,Off peak cars,45173
2013,Cars & Station-wagons,Off peak cars,42233
2014,Cars & Station-wagons,Off peak cars,38146
2005,Taxis,Taxis,22383
2006,Taxis,Taxis,23334
2007,Taxis,Taxis,24446
2008,Taxis,Taxis,24300
2009,Taxis,Taxis,24702
2010,Taxis,Taxis,26073
2011,Taxis,Taxis,27051
2012,Taxis,Taxis,28210
2013,Taxis,Taxis,27695
2014,Taxis,Taxis,28736
2005,Motorcycles,Motorcycles,138588
2006,Motorcycles,Motorcycles,141881
2007,Motorcycles,Motorcycles,143482
2008,Motorcycles,Motorcycles,145288
2009,Motorcycles,Motorcycles,146337
2010,Motorcycles,Motorcycles,147282
2011,Motorcycles,Motorcycles,145680
2012,Motorcycles,Motorcycles,143286
2013,Motorcycles,Motorcycles,144307
2014,Motorcycles,Motorcycles,144404
2005,Goods & Other Vehicles,Goods-cum-passenger vehicles (GPVs),5697
2006,Goods & Other Vehicles,Goods-cum-passenger vehicles (GPVs),5439
2007,Goods & Other Vehicles,Goods-cum-passenger vehicles (GPVs),5074
2008,Goods & Other Vehicles,Goods-cum-passenger vehicles (GPVs),4941
2009,Goods & Other Vehicles,Goods-cum-passenger vehicles (GPVs),4771
2010,Goods & Other Vehicles,Goods-cum-passenger vehicles (GPVs),4570
2011,Goods & Other Vehicles,Goods-cum-passenger vehicles (GPVs),4402
2012,Goods & Other Vehicles,Goods-cum-passenger vehicles (GPVs),4144
2013,Goods & Other Vehicles,Goods-cum-passenger vehicles (GPVs),3166
2014,Goods & Other Vehicles,Goods-cum-passenger vehicles (GPVs),2868
2005,Goods & Other Vehicles,Light Goods Vehicles (LGVs),85891
2006,Goods & Other Vehicles,Light Goods Vehicles (LGVs),87805
2007,Goods & Other Vehicles,Light Goods Vehicles (LGVs),91945
2008,Goods & Other Vehicles,Light Goods Vehicles (LGVs),94045
2009,Goods & Other Vehicles,Light Goods Vehicles (LGVs),95185
2010,Goods & Other Vehicles,Light Goods Vehicles (LGVs),93999
2011,Goods & Other Vehicles,Light Goods Vehicles (LGVs),94710
2012,Goods & Other Vehicles,Light Goods Vehicles (LGVs),93914
2013,Goods & Other Vehicles,Light Goods Vehicles (LGVs),92317
2014,Goods & Other Vehicles,Light Goods Vehicles (LGVs),92731
2005,Goods & Other Vehicles,Heavy Goods Vehicles (HGVs),26756
2006,Goods & Other Vehicles,Heavy Goods Vehicles (HGVs),28983
2007,Goods & Other Vehicles,Heavy Goods Vehicles (HGVs),30207
2008,Goods & Other Vehicles,Heavy Goods Vehicles (HGVs),31383
2009,Goods & Other Vehicles,Heavy Goods Vehicles (HGVs),31884
2010,Goods & Other Vehicles,Heavy Goods Vehicles (HGVs),31869
2011,Goods & Other Vehicles,Heavy Goods Vehicles (HGVs),32297
2012,Goods & Other Vehicles,Heavy Goods Vehicles (HGVs),32313
2013,Goods & Other Vehicles,Heavy Goods Vehicles (HGVs),32549
2014,Goods & Other Vehicles,Heavy Goods Vehicles (HGVs),32196
2005,Goods & Other Vehicles,Very Heavy Goods Vehicles (VHGVs),9849
2006,Goods & Other Vehicles,Very Heavy Goods Vehicles (VHGVs),10614
2007,Goods & Other Vehicles,Very Heavy Goods Vehicles (VHGVs),11378
2008,Goods & Other Vehicles,Very Heavy Goods Vehicles (VHGVs),12597
2009,Goods & Other Vehicles,Very Heavy Goods Vehicles (VHGVs),12962
2010,Goods & Other Vehicles,Very Heavy Goods Vehicles (VHGVs),13175
2011,Goods & Other Vehicles,Very Heavy Goods Vehicles (VHGVs),13749
2012,Goods & Other Vehicles,Very Heavy Goods Vehicles (VHGVs),14675
2013,Goods & Other Vehicles,Very Heavy Goods Vehicles (VHGVs),16170
2014,Goods & Other Vehicles,Very Heavy Goods Vehicles (VHGVs),16712
2005,Buses,Omnibuses,3599
2006,Buses,Omnibuses,3785
2007,Buses,Omnibuses,3761
2008,Buses,Omnibuses,3854
2009,Buses,Omnibuses,4045
2010,Buses,Omnibuses,3981
2011,Buses,Omnibuses,4112
2012,Buses,Omnibuses,4212
2013,Buses,Omnibuses,4552
2014,Buses,Omnibuses,4756
2005,Buses,School buses (CB),1873
2006,Buses,School buses (CB),1881
2007,Buses,School buses (CB),1851
2008,Buses,School buses (CB),1852
2009,Buses,School buses (CB),1849
2010,Buses,School buses (CB),1845
