year,total_expenditure_on_education
1981,942517
1982,1358430
1983,1611647
1984,1769728
1985,1812376
1986,1641893
1987,1654115
1988,1604473
1989,1765250
1990,2056374
1991,2816371
1992,2597894
1993,2902886
1994,3318956
1995,3443857
1996,3771955
1997,4449754
1998,4853120
1999,4857488
2000,5867507
2001,6239575
2002,6597955
2003,6214434
2004,6214121
2005,6082278
2006,6959285
2007,7527668
2008,8229694
2009,8685056
2010,9875445
2011,10740250
2012,10496911
2013,11638313
2014,11598458
2015,11934956
2016,12468854
2017,12690630
2018,13090000
